"nest_id","site","year","species","field_nest_id","lat","long","tiff","notes"
1,Joule,2021,greg,120,26.0117665,-80.6305733,Joule_05_05_2021-0-1,"pink paper marker"
2,Joule,2021,greg,152,26.0116869,-80.6306046,Joule_05_05_2021-0-1,"orange paper marker"
3,Joule,2021,greg,237,26.0116147,-80.6307125,Joule_05_05_2021-0-1,"pink flagging, may need buffer around waypoint, not sure which nest goes with flag, 2 chicks sw of flag"
4,Joule,2021,greg,77,26.0116426,-80.6309507,Joule_05_05_2021-0-1,"blue flagging plus pink paper in nest"
5,Joule,2021,greg,108,26.0117449,-80.6311519,Joule_05_05_2021-0-1,"blue flagging plus pink paper in nest"
6,Joule,2021,greg,,26.0117358,-80.6310859,Joule_05_05_2021-0-1,"Nest beside 108 pink paper in nest, to east of 108"
7,Joule,2021,greg,161,26.0118004,-80.6312035,Joule_05_05_2021-0-0,"Pink flagging 2' plus a touch of blue"
8,Joule,2021,greg,,26.0118389,-80.6312183,Joule_05_05_2021-0-0,"pink paper in nest with blue star of flagging above(is this nest below or just above flagging? 299 or 229?"
9,Joule,2021,greg,,26.0118552,-80.6314176,Joule_05_05_2021-0-0,"pink paper? In nest and orange flag stripe below"
10,Joule,2021,greg,,26.0119225,-80.6314688,Joule_05_05_2021-0-0,"pink and blue flagging twisted together, straight line below nest"
11,Joule,2021,greg,104,26.0120936,-80.6313753,Joule_05_05_2021-0-0,"pink and orange zig zag flagging, maybe a touch of old blue?"
12,Joule,2021,greg,102,26.0121057,-80.631309,Joule_05_05_2021-0-0,"orange paper marker plus blue flagging x, right next to GBHE or hawk nest"
13,Joule,2021,greg,223,26.0120943,-80.6312566,Joule_05_05_2021-0-0,"small flagging, orange with lil blue"
14,Joule,2021,greg,100,26.01211,-80.6312433,Joule_05_05_2021-0-0,"no flagging, next to 223"
15,Joule,2021,greg,219,26.0122733,-80.631082,Joule_05_05_2021-0-0,"pink X with square center"
16,Joule,2021,greg,159,26.0123126,-80.6307449,Joule_05_05_2021-0-0,"pink paper in nest, two orange flag stripes below"
17,Joule,2021,greg,96,26.0123706,-80.6307527,Joule_05_05_2021-0-0,"orange? Paper with 3 small strips of blue flagging beside it"
18,Joule,2021,greg,71,26.0120491,-80.6305118,Joule_05_05_2021-0-0,"orange paper below, large blue x of flagging, not quite sure where actual nest is"
19,Jerrod,2021,greg,185,26.0037907,-80.5970397,Jerrod_05_05_2021,"orange flagging cross, and pink paper"
20,Jerrod,2021,greg,79,26.0036829,-80.5969929,Jerrod_05_05_2021,"small pink bundle or paper"
21,Jerrod,2021,greg,81,26.0036003,-80.5969241,Jerrod_05_05_2021,"pink paper and blue flagging around"
22,Jerrod,2021,greg,246,26.0035968,-80.5968819,Jerrod_05_05_2021,"L shaped pink flagging, actual nest is hard to determine"
