"","year","colony","nest","species","date","eggs","chicks","stage","notes"
"1",1994,frog_city_south,358,smhe,1994-04-18,2,NA,NA,NA
"2",1994,frog_city_south,358,smhe,1994-04-25,2,NA,NA,NA
"3",1994,frog_city_south,358,smhe,1994-05-01,2,NA,NA,NA
"4",1994,frog_city_south,358,smhe,1994-05-08,NA,2,NA,NA
"5",1994,frog_city_south,358,smhe,1994-05-14,NA,2,NA,NA
"6",1994,frog_city_south,358,smhe,1994-05-19,NA,2,NA,NA
"7",1994,frog_city_south,358,smhe,1994-05-26,NA,2,NA,NA
"8",1994,frog_city_south,312,greg,1994-04-18,NA,2,NA,NA
"9",1994,frog_city_south,312,greg,1994-04-25,NA,2,NA,NA
"10",1994,frog_city_south,312,greg,1994-05-01,NA,2,NA,NA
"11",1994,frog_city_south,312,greg,1994-05-08,NA,2,NA,NA
"12",1994,frog_city_south,312,greg,1994-05-14,NA,2,NA,NA
"13",1994,frog_city_south,312,greg,1994-05-19,NA,2,NA,NA
"14",1994,frog_city_south,313,greg,1994-04-18,3,NA,NA,NA
"15",1994,frog_city_south,313,greg,1994-04-25,2,1,NA,NA
"16",1994,frog_city_south,313,greg,1994-05-01,2,1,NA,NA
"17",1994,frog_city_south,313,greg,1994-05-08,NA,2,NA,NA
"18",1994,frog_city_south,313,greg,1994-05-14,NA,2,NA,NA
"19",1994,frog_city_south,313,greg,1994-05-19,NA,2,NA,NA
"20",1994,frog_city_south,313,greg,1994-05-26,NA,2,NA,NA
"21",1994,frog_city_south,314,greg,1994-04-18,NA,1,NA,NA
"22",1994,frog_city_south,314,greg,1994-04-25,NA,1,NA,NA
"23",1994,frog_city_south,314,greg,1994-05-01,NA,1,NA,NA
"24",1994,frog_city_south,314,greg,1994-05-08,NA,1,NA,NA
"25",1994,frog_city_south,314,greg,1994-05-14,NA,1,NA,NA
"26",1994,frog_city_south,314,greg,1994-05-19,NA,1,NA,NA
"27",1994,frog_city_south,315,smhe,1994-04-18,3,NA,NA,NA
"28",1994,frog_city_south,315,smhe,1994-04-25,3,NA,NA,NA
"29",1994,frog_city_south,315,smhe,1994-05-01,3,NA,NA,NA
"30",1994,frog_city_south,316,smhe,1994-04-18,1,NA,NA,NA
"31",1994,frog_city_south,316,smhe,1994-04-25,2,NA,NA,NA
"32",1994,frog_city_south,317,smhe,1994-04-18,3,NA,NA,NA
"33",1994,frog_city_south,317,smhe,1994-04-25,3,NA,NA,NA
"34",1994,frog_city_south,317,smhe,1994-05-01,3,NA,NA,NA
"35",1994,frog_city_south,317,smhe,1994-05-08,NA,3,NA,NA
"36",1994,frog_city_south,318,greg,1994-04-18,2,NA,NA,NA
"37",1994,frog_city_south,319,trhe,1994-04-18,3,NA,NA,NA
"38",1994,frog_city_south,319,trhe,1994-04-25,3,NA,NA,NA
"39",1994,frog_city_south,319,trhe,1994-05-01,3,NA,NA,NA
"40",1994,frog_city_south,319,trhe,1994-05-08,3,NA,NA,NA
"41",1994,frog_city_south,319,trhe,1994-05-14,NA,3,NA,NA
"42",1994,frog_city_south,319,trhe,1994-05-19,NA,3,NA,NA
"43",1994,frog_city_south,319,trhe,1994-05-26,NA,3,NA,NA
"44",1994,frog_city_south,320,trhe,1994-04-18,3,NA,NA,NA
"45",1994,frog_city_south,320,trhe,1994-04-25,NA,3,NA,NA
"46",1994,frog_city_south,320,trhe,1994-05-01,NA,3,NA,NA
"47",1994,frog_city_south,321,trhe,1994-04-18,3,NA,NA,NA
"48",1994,frog_city_south,321,trhe,1994-04-25,3,NA,NA,NA
"49",1994,frog_city_south,321,trhe,1994-05-01,3,NA,NA,NA
"50",1994,frog_city_south,321,trhe,1994-05-08,2,1,NA,NA
"51",1994,frog_city_south,321,trhe,1994-05-14,NA,3,NA,NA
"52",1994,frog_city_south,321,trhe,1994-05-19,NA,3,NA,NA
"53",1994,frog_city_south,321,trhe,1994-05-26,NA,3,NA,NA
"54",1994,frog_city_south,322,smhe,1994-04-18,2,NA,NA,NA
"55",1994,frog_city_south,344,trhe,1994-04-18,2,NA,NA,NA
"56",1994,frog_city_south,344,trhe,1994-04-25,NA,1,NA,NA
"57",1994,frog_city_south,344,trhe,1994-05-01,NA,1,NA,NA
"58",1994,frog_city_south,344,trhe,1994-05-08,NA,1,NA,NA
"59",1994,frog_city_south,344,trhe,1994-05-14,NA,1,NA,NA
"60",1994,frog_city_south,344,trhe,1994-05-19,NA,1,NA,NA
"61",1994,frog_city_south,345,lbhe,1994-04-18,3,NA,NA,NA
"62",1994,frog_city_south,345,lbhe,1994-04-25,3,NA,NA,NA
"63",1994,frog_city_south,345,lbhe,1994-05-01,3,NA,NA,NA
"64",1994,frog_city_south,345,lbhe,1994-05-08,NA,3,NA,NA
"65",1994,frog_city_south,345,lbhe,1994-05-14,NA,2,NA,NA
"66",1994,frog_city_south,345,lbhe,1994-05-19,NA,2,NA,NA
"67",1994,frog_city_south,345,lbhe,1994-05-26,NA,1,NA,NA
"68",1994,frog_city_south,346,sneg,1994-04-18,1,NA,NA,NA
"69",1994,frog_city_south,346,sneg,1994-04-25,3,NA,NA,NA
"70",1994,frog_city_south,346,sneg,1994-05-14,NA,1,NA,NA
"71",1994,frog_city_south,346,sneg,1994-05-19,NA,1,NA,NA
"72",1994,frog_city_south,346,sneg,1994-05-26,NA,1,NA,NA
"73",1994,frog_city_south,347,trhe,1994-04-18,3,NA,NA,NA
"74",1994,frog_city_south,347,trhe,1994-04-25,NA,2,NA,NA
"75",1994,frog_city_south,347,trhe,1994-05-01,NA,2,NA,NA
"76",1994,frog_city_south,347,trhe,1994-05-08,NA,2,NA,NA
"77",1994,frog_city_south,347,trhe,1994-05-14,NA,2,NA,NA
"78",1994,frog_city_south,347,trhe,1994-05-19,NA,2,NA,NA
"79",1994,frog_city_south,348,smhe,1994-04-18,3,NA,NA,NA
"80",1994,frog_city_south,348,smhe,1994-04-25,3,NA,NA,NA
"81",1994,frog_city_south,348,smhe,1994-05-01,3,NA,NA,NA
"82",1994,frog_city_south,348,smhe,1994-05-08,3,NA,NA,NA
"83",1994,frog_city_south,348,smhe,1994-05-14,NA,2,NA,NA
"84",1994,frog_city_south,348,smhe,1994-05-19,NA,3,NA,NA
"85",1994,frog_city_south,348,smhe,1994-05-26,NA,2,NA,NA
"86",1994,frog_city_south,349,smhe,1994-04-18,3,NA,NA,NA
"87",1994,frog_city_south,349,smhe,1994-04-25,3,NA,NA,NA
"88",1994,frog_city_south,349,smhe,1994-05-01,3,NA,NA,NA
"89",1994,frog_city_south,349,smhe,1994-05-08,NA,2,NA,NA
"90",1994,frog_city_south,349,smhe,1994-05-14,NA,2,NA,NA
"91",1994,frog_city_south,349,smhe,1994-05-19,NA,2,NA,NA
"92",1994,frog_city_south,349,smhe,1994-05-26,NA,1,NA,NA
"93",1994,frog_city_south,350,smhe,1994-04-18,3,NA,NA,NA
"94",1994,frog_city_south,351,lbhe,1994-04-18,4,NA,NA,NA
"95",1994,frog_city_south,351,lbhe,1994-04-25,4,NA,NA,NA
"96",1994,frog_city_south,351,lbhe,1994-05-01,4,NA,NA,NA
"97",1994,frog_city_south,351,lbhe,1994-05-08,1,3,NA,NA
"98",1994,frog_city_south,351,lbhe,1994-05-14,NA,2,NA,NA
"99",1994,frog_city_south,351,lbhe,1994-05-19,NA,3,NA,NA
"100",1994,frog_city_south,351,lbhe,1994-05-26,NA,3,NA,NA
"101",1994,frog_city_south,352,sneg,1994-04-18,4,NA,NA,NA
