,prediction_id,truth_id,IoU,match
17,17,0,0.0,False
10,10,1,0.22685668228738026,False
28,28,2,0.0,False
34,34,3,0.0,False
100,100,4,0.37209560597953895,True
53,53,5,0.0,False
59,59,6,0.0,False
60,60,7,0.0,False
27,27,8,0.37209560597953895,True
98,98,9,0.33990279694139286,True
44,44,10,0.37657868559207264,True
74,74,11,0.0,False
99,99,12,0.37209560597953895,True
83,83,13,0.0,False
85,85,14,0.0,False
87,87,15,0.0,False
91,91,16,0.0,False
93,93,17,0.0,False
94,94,18,0.0,False
66,66,19,0.0,False
75,75,20,0.0,False
42,42,21,0.0,False
97,97,22,0.37657868559207264,True
102,102,23,0.0,False
31,31,24,0.36766589644916675,True
103,103,25,0.0,False
106,106,26,0.0,False
107,107,27,0.0,False
6,6,28,0.37209560597953895,True
38,38,29,0.36766589644916675,True
109,109,30,0.0,False
48,48,31,0.37209560597953895,True
110,110,32,0.0,False
29,29,33,0.37657868559207264,True
112,112,34,0.0,False
114,114,35,0.0,False
116,116,36,0.0,False
119,119,37,0.0,False
0,,38,0.0,False
0,,39,0.0,False
0,,40,0.0,False
0,,41,0.0,False
0,,42,0.0,False
40,40,43,0.37657868559207264,True
16,16,44,0.37657868559207264,True
0,,45,0.0,False
25,25,46,0.37209560597953895,True
2,2,47,0.37657868559207264,True
50,50,48,0.37657868559207264,True
37,37,49,0.37657868559207264,True
0,,50,0.0,False
0,,51,0.0,False
0,,52,0.0,False
0,,53,0.0,False
0,,54,0.0,False
0,,55,0.0,False
0,,56,0.0,False
0,,57,0.0,False
0,,58,0.0,False
0,,59,0.0,False
0,,60,0.0,False
32,32,61,0.37209560597953895,True
0,,62,0.0,False
39,39,63,0.37657868559207264,True
67,67,64,0.36766589636265623,True
0,,65,0.0,False
0,,66,0.0,False
0,,67,0.0,False
80,80,68,0.3463143665073134,True
0,,69,0.0,False
0,,70,0.0,False
0,,71,0.0,False
0,,72,0.0,False
0,,73,0.0,False
113,113,74,0.37209560597953895,True
0,,75,0.0,False
90,90,76,0.28761450806718886,True
56,56,77,0.36766589636265623,True
0,,78,0.0,False
0,,79,0.0,False
0,,80,0.0,False
41,41,81,0.05906409429812307,False
0,,82,0.0,False
0,,83,0.0,False
82,82,84,0.37657868559207264,True
0,,85,0.0,False
0,,86,0.0,False
0,,87,0.0,False
5,5,88,0.37657868559207264,True
0,,89,0.0,False
0,,90,0.0,False
0,,91,0.0,False
0,,92,0.0,False
0,,93,0.0,False
0,,94,0.0,False
0,,95,0.0,False
0,,96,0.0,False
0,,97,0.0,False
58,58,98,0.34121018026408706,True
7,7,99,0.37657868568174785,True
0,,100,0.0,False
0,,101,0.0,False
19,19,102,0.37209560597953895,True
0,,103,0.0,False
0,,104,0.0,False
0,,105,0.0,False
12,12,106,0.37657868559207264,True
95,95,107,0.37209560597953895,True
0,,108,0.0,False
0,,109,0.0,False
0,,110,0.0,False
0,,111,0.0,False
51,51,112,0.37209560597953895,True
63,63,113,0.37209560597953895,True
46,46,114,0.37209560597953895,True
23,23,115,0.37209560606814657,True
0,,116,0.0,False
62,62,117,0.37657868559207264,True
0,,118,0.0,False
0,,119,0.0,False
0,,120,0.0,False
0,,121,0.0,False
52,52,122,0.36766589644916675,True
0,,123,0.0,False
0,,124,0.0,False
0,,125,0.0,False
54,54,126,0.37657868559207264,True
92,92,127,0.37209560606709174,True
0,,128,0.0,False
0,,129,0.0,False
0,,130,0.0,False
0,,131,0.0,False
0,,132,0.0,False
0,,133,0.0,False
0,,134,0.0,False
0,,135,0.0,False
0,,136,0.0,False
96,96,137,0.37209560597953895,True
0,,138,0.0,False
0,,139,0.0,False
0,,140,0.0,False
72,72,141,0.37657868559207264,True
0,,142,0.0,False
0,,143,0.0,False
101,101,144,0.37657868559207264,True
0,,145,0.0,False
0,,146,0.0,False
0,,147,0.0,False
0,,148,0.0,False
0,,149,0.0,False
