,frame,nest_x,nest_y,species,valid_nest,classification_id,user_name,created_at,subject_ids,nest_id,site,event,filename
0,,,,,False,294685007,kristenbrush,2020-12-14 21:49:34 UTC,53379224,8697,CypressCity,04_29_2020,8697_CypressCity_04_29_2020_projected
1,,,,,False,294686825,kristenbrush,2020-12-14 21:55:10 UTC,53378340,3627,Joule,05_29_2020,3627_Joule_05_29_2020_projected
2,,,,,False,294686870,kristenbrush,2020-12-14 21:55:17 UTC,53377445,2157,CypressCity,04_29_2020,2157_CypressCity_04_29_2020_projected
3,,,,,False,294688349,kristenbrush,2020-12-14 21:59:03 UTC,53378325,3621,Joule,05_29_2020,3621_Joule_05_29_2020_projected
4,0,95.31941223144531,481.40960693359375,Great Egret,True,294703252,kristenbrush,2020-12-14 23:02:20 UTC,53377918,3285,StartMel,05_07_2020,3285_StartMel_05_07_2020_projected
5,0,265.43310546875,292.5428161621094,Great Egret,True,294703252,kristenbrush,2020-12-14 23:02:20 UTC,53377918,3285,StartMel,05_07_2020,3285_StartMel_05_07_2020_projected
6,1,268.4984130859375,269.2177429199219,Great Egret,True,294703252,kristenbrush,2020-12-14 23:02:20 UTC,53377918,3285,StartMel,05_07_2020,3285_StartMel_05_07_2020_projected
7,1,101.98075103759766,457.7500915527344,Great Egret,True,294703252,kristenbrush,2020-12-14 23:02:20 UTC,53377918,3285,StartMel,05_07_2020,3285_StartMel_05_07_2020_projected
8,2,259.43359375,286.2890625,Great Egret,True,294703252,kristenbrush,2020-12-14 23:02:20 UTC,53377918,3285,StartMel,05_07_2020,3285_StartMel_05_07_2020_projected
9,2,96.1341323852539,470.8001403808594,Great Egret,True,294703252,kristenbrush,2020-12-14 23:02:20 UTC,53377918,3285,StartMel,05_07_2020,3285_StartMel_05_07_2020_projected
10,3,101.42217254638672,501.9736022949219,Great Egret,True,294703252,kristenbrush,2020-12-14 23:02:20 UTC,53377918,3285,StartMel,05_07_2020,3285_StartMel_05_07_2020_projected
11,4,266.6949157714844,292.4620361328125,Great Egret,True,294703252,kristenbrush,2020-12-14 23:02:20 UTC,53377918,3285,StartMel,05_07_2020,3285_StartMel_05_07_2020_projected
12,5,261.1536865234375,280.5326232910156,Great Egret,True,294703252,kristenbrush,2020-12-14 23:02:20 UTC,53377918,3285,StartMel,05_07_2020,3285_StartMel_05_07_2020_projected
13,6,268.8504943847656,283.0024108886719,Great Egret,True,294703252,kristenbrush,2020-12-14 23:02:20 UTC,53377918,3285,StartMel,05_07_2020,3285_StartMel_05_07_2020_projected
14,3,266.93695068359375,280.8686218261719,Great Egret,True,294703252,kristenbrush,2020-12-14 23:02:20 UTC,53377918,3285,StartMel,05_07_2020,3285_StartMel_05_07_2020_projected
15,4,90.59329986572266,471.13006591796875,Great Egret,True,294703252,kristenbrush,2020-12-14 23:02:20 UTC,53377918,3285,StartMel,05_07_2020,3285_StartMel_05_07_2020_projected
16,5,91.36663818359375,459.0084533691406,Great Egret,True,294703252,kristenbrush,2020-12-14 23:02:20 UTC,53377918,3285,StartMel,05_07_2020,3285_StartMel_05_07_2020_projected
17,6,88.07249450683594,467.5602111816406,Great Egret,True,294703252,kristenbrush,2020-12-14 23:02:20 UTC,53377918,3285,StartMel,05_07_2020,3285_StartMel_05_07_2020_projected
18,7,100.91656494140625,461.11566162109375,Great Egret,True,294703252,kristenbrush,2020-12-14 23:02:20 UTC,53377918,3285,StartMel,05_07_2020,3285_StartMel_05_07_2020_projected
19,7,262.5596008300781,271.20672607421875,Great Egret,True,294703252,kristenbrush,2020-12-14 23:02:20 UTC,53377918,3285,StartMel,05_07_2020,3285_StartMel_05_07_2020_projected
20,0,285.9234313964844,277.54241943359375,Great Egret,True,294704236,kristenbrush,2020-12-14 23:07:16 UTC,53378954,5083,Vacation,05_29_2020,5083_Vacation_05_29_2020_projected
21,1,274.92364501953125,288.7889709472656,Great Egret,True,294704236,kristenbrush,2020-12-14 23:07:16 UTC,53378954,5083,Vacation,05_29_2020,5083_Vacation_05_29_2020_projected
22,2,285.6831359863281,276.2961730957031,Great Egret,True,294704236,kristenbrush,2020-12-14 23:07:16 UTC,53378954,5083,Vacation,05_29_2020,5083_Vacation_05_29_2020_projected
23,3,278.4233093261719,266.2922058105469,Great Egret,True,294704236,kristenbrush,2020-12-14 23:07:16 UTC,53378954,5083,Vacation,05_29_2020,5083_Vacation_05_29_2020_projected
24,,,,,False,294704249,kristenbrush,2020-12-14 23:07:20 UTC,53377219,1892,CypressCity,04_29_2020,1892_CypressCity_04_29_2020_projected
25,,,,,False,294704287,kristenbrush,2020-12-14 23:07:37 UTC,53377368,2083,CypressCity,04_29_2020,2083_CypressCity_04_29_2020_projected
26,,,,,False,294704339,kristenbrush,2020-12-14 23:08:02 UTC,53377833,2893,Vacation,05_29_2020,2893_Vacation_05_29_2020_projected
27,,,,,False,294704361,kristenbrush,2020-12-14 23:08:07 UTC,53377270,1977,CypressCity,04_29_2020,1977_CypressCity_04_29_2020_projected
28,0,222.109130859375,261.7805480957031,Great Egret,True,294708836,kristenbrush,2020-12-14 23:39:33 UTC,53376985,1148,Joule,05_29_2020,1148_Joule_05_29_2020_projected
29,0,349.59808349609375,386.3123779296875,Great Egret,True,294708836,kristenbrush,2020-12-14 23:39:33 UTC,53376985,1148,Joule,05_29_2020,1148_Joule_05_29_2020_projected
30,1,303.0195007324219,343.21173095703125,Great Egret,True,294708836,kristenbrush,2020-12-14 23:39:33 UTC,53376985,1148,Joule,05_29_2020,1148_Joule_05_29_2020_projected
31,1,436.1681213378906,505.719482421875,Great Egret,True,294708836,kristenbrush,2020-12-14 23:39:33 UTC,53376985,1148,Joule,05_29_2020,1148_Joule_05_29_2020_projected
32,1,154.94183349609375,74.53085327148438,Great Egret,True,294708836,kristenbrush,2020-12-14 23:39:33 UTC,53376985,1148,Joule,05_29_2020,1148_Joule_05_29_2020_projected
33,2,310.1838073730469,350.040283203125,Great Egret,True,294708836,kristenbrush,2020-12-14 23:39:33 UTC,53376985,1148,Joule,05_29_2020,1148_Joule_05_29_2020_projected
34,2,442.8323669433594,503.88360595703125,Great Egret,True,294708836,kristenbrush,2020-12-14 23:39:33 UTC,53376985,1148,Joule,05_29_2020,1148_Joule_05_29_2020_projected
35,3,594.1348266601562,641.5325317382812,Great Egret,True,294708836,kristenbrush,2020-12-14 23:39:33 UTC,53376985,1148,Joule,05_29_2020,1148_Joule_05_29_2020_projected
36,3,864.5732421875,947.9644165039062,Great Egret,True,294708836,kristenbrush,2020-12-14 23:39:33 UTC,53376985,1148,Joule,05_29_2020,1148_Joule_05_29_2020_projected
37,3,346.02862548828125,121.65888977050781,Great Egret,True,294708836,kristenbrush,2020-12-14 23:39:33 UTC,53376985,1148,Joule,05_29_2020,1148_Joule_05_29_2020_projected
38,4,156.0699920654297,76.04480743408203,Great Egret,True,294708836,kristenbrush,2020-12-14 23:39:33 UTC,53376985,1148,Joule,05_29_2020,1148_Joule_05_29_2020_projected
