,species,x,y,additional_observations,classification_id,user_name,created_at,subject_ids,image_utm_left,image_utm_bottom,image_utm_right,image_utm_top,site,event,resolution,subject_reference,label,behavior
0,,,,Yes,230921423,weecology,2020-04-27 20:50:41 UTC,43846719,545984.1224260025,2888944.93350274,545999.9783516317,2888960.7894283696,6thBridge,03112020,0.010570617086130553,511,,
1,,,,No,230921995,weecology,2020-04-27 20:51:38 UTC,43846362,545984.1224260025,2889008.357205257,545999.9783516317,2889024.213130886,6thBridge,03112020,0.010570617086130553,390,,
2,,,,No,231680083,weecology,2020-04-28 21:14:03 UTC,43847359,545809.7072440813,2889547.4586766497,545825.5631697105,2889563.314602279,6thBridge,03112020,0.010570617086130553,794,,
3,,,,No,231680160,weecology,2020-04-28 21:14:11 UTC,43847388,545762.1394671937,2889055.9249821445,545777.9953928229,2889071.780907774,6thBridge,03112020,0.010570617086130553,807,,
4,,,,No,231680256,weecology,2020-04-28 21:14:21 UTC,43847291,546110.969831036,2888960.7894283696,546126.8257566652,2888976.645353999,6thBridge,03112020,0.010570617086130553,763,,
5,Roseate Spoonbill ,489.28546142578125,86.23535919189453,Yes,231685815,weecology,2020-04-28 21:24:55 UTC,43846108,545825.5631697105,2889373.0434947284,545841.4190953396,2889388.899420358,6thBridge,03112020,0.010570617086130553,287,Roseate Spoonbill - Nesting, Nesting
6,Roseate Spoonbill ,990.3662719726562,565.3679809570312,Yes,231685815,weecology,2020-04-28 21:24:55 UTC,43846108,545825.5631697105,2889373.0434947284,545841.4190953396,2889388.899420358,6thBridge,03112020,0.010570617086130553,287,Roseate Spoonbill - Nesting, Nesting
7,White Ibis ,671.6026611328125,339.01824951171875,Yes,231685815,weecology,2020-04-28 21:24:55 UTC,43846108,545825.5631697105,2889373.0434947284,545841.4190953396,2889388.899420358,6thBridge,03112020,0.010570617086130553,287,White Ibis - Nesting, Nesting
8,White Ibis ,728.673095703125,291.768798828125,Yes,231685815,weecology,2020-04-28 21:24:55 UTC,43846108,545825.5631697105,2889373.0434947284,545841.4190953396,2889388.899420358,6thBridge,03112020,0.010570617086130553,287,White Ibis - Nesting, Nesting
9,White Ibis ,757.7529296875,316.60198974609375,Yes,231685815,weecology,2020-04-28 21:24:55 UTC,43846108,545825.5631697105,2889373.0434947284,545841.4190953396,2889388.899420358,6thBridge,03112020,0.010570617086130553,287,White Ibis - Nesting, Nesting
